Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Difference,Amount Differences
0729154M,2003-07-29 00:00:00,2003-07-18 00:00:00,IND,Indianapolis International,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,180.0,Settled,30.0,Settle,11.0,150.0
2012102598150,2012-09-17 00:00:00,2012-08-31 00:00:00,TPA,Tampa International,USAir  ,Passenger Property Loss,Checkpoint,Clothing; Office Equipment & Supplies,0.0,Deny,,,17.0,
0822028M,2003-08-22 00:00:00,2003-07-26 00:00:00,SNA,John Wayne,,Passenger Property Loss,Checked Baggage,Other,169.94,Canceled,0.0,,27.0,169.94
2007041924249,2007-04-19 00:00:00,2007-04-02 00:00:00,ORF,Norfolk International,American Airlines,Property Damage,Checkpoint,Cell Phones; Other,110.0,Approved,110.0,Approve in Full,17.0,0.0
2012042493157,2012-03-26 00:00:00,2012-03-16 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,American Airlines  ,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,178.0,Settle,,,10.0,
2006121917382,2006-12-04 00:00:00,2006-11-13 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),510.0,Denied,0.0,Deny,21.0,510.0
2011032481393,2011-02-28 00:00:00,2011-02-01 00:00:00,CID,Eastern Iowa,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Medical/Science,0.0,Deny,,,27.0,
2015031921354,2015-03-19 00:00:00,2015-02-07 00:00:00,IAD,Washington Dulles International,Ethopian Airlines,Passenger Property Loss,Checked Baggage,Clothing; Travel Accessories,0.0,Deny,,,40.0,
2010121778823,2010-12-07 00:00:00,2010-09-26 00:00:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,Crafting & Hobby,0.0,Deny,,,72.0,
2004062256987,2004-05-27 00:00:00,2004-05-06 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,21.0,0.0
2015072324172,2015-07-20 00:00:00,2015-07-16 00:00:00,RAP,Rapid City Regional,UAL,Property Damage,Checked Baggage,Other; Travel Accessories,,,,,4.0,
2007071928688,2007-07-17 00:00:00,2007-07-07 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),200.0,Canceled,0.0,,10.0,200.0
0219654M,2004-02-19 00:00:00,2004-10-11 00:00:00,MSY,New Orleans International,,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,80.0,Settled,70.0,Settle,-235.0,10.0
0507038L,2003-05-07 00:00:00,2003-04-22 00:00:00,,,,Passenger Property Loss,Checkpoint,Other,100.0,Canceled,,,15.0,
2007041023667,2007-04-06 00:00:00,2006-12-28 00:00:00,JAX,Jacksonville International,Delta Air Lines,Passenger Property Loss,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,150.0,Approved,150.0,Approve in Full,99.0,0.0
2009030755950,2009-02-18 00:00:00,2008-11-23 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,,Property Damage,Checkpoint,,100.0,Denied,0.0,Deny,87.0,100.0
2004061555845,2004-06-15 00:00:00,2004-04-26 00:00:00,MDW,Midway International Airport,,Passenger Property Loss,Checkpoint,Jewelry - Fine,1300.0,Denied,0.0,Deny,50.0,1300.0
2010102677396,2010-10-19 00:00:00,2010-09-04 15:48:00,DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Cameras,0.0,Deny,,,44.0,
2005050484097,2005-05-03 00:00:00,2005-03-21 00:00:00,BOS,Boston (Logan) International Airport,,Property Damage,Checked Baggage,Computer - Laptop,875.0,Denied,0.0,Deny,43.0,875.0
2007092032327,2007-09-19 00:00:00,2007-09-12 00:00:00,SAN,San Diego International,Midwest Express Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers); Other,300.0,Denied,0.0,Deny,7.0,300.0
2011120289325,2011-11-16 00:00:00,2011-10-18 00:00:00,SNA,John Wayne,Southwest Airlines  ,Property Damage,Checked Baggage,Personal Electronics,324.42,Approve in Full,,,29.0,
2006061908153,2006-06-16 00:00:00,2006-05-18 00:00:00,RSW,Southwest Florida International,Jet Blue,Passenger Property Loss,Checked Baggage,Cell Phones; Clothing - Shoes; belts; accessories; etc.,129.0,Approved,129.0,Approve in Full,29.0,0.0
2010010867347,2009-12-30 00:00:00,2009-11-02 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,DVD/CD Players; Handbags & Purses (leather or fabric),546.95,Settled,514.73,Settle,58.0,32.22000000000003
2005040581599,2005-03-31 00:00:00,2005-02-07 00:00:00,LAX,Los Angeles International Airport,Virgin Atlantic,Passenger Property Loss,Checkpoint,Jewelry - Fine,5400.0,Denied,0.0,Deny,52.0,5400.0
2006042705407,2006-04-25 00:00:00,2006-02-28 00:00:00,PBI,Palm Beach International,Continental Airlines,Personal Injury,Checkpoint,,500.0,Denied,0.0,Deny,56.0,500.0
2014060214325,2014-05-22 00:00:00,2014-05-21 00:00:00,SAN,San Diego International,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,Deny,,,1.0,
0210090M,2004-02-10 00:00:00,2004-01-19 00:00:00,MIA,Miami International Airport,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,464.0,Settled,232.0,Settle,22.0,232.0
2015062923537,2015-06-23 00:00:00,2015-06-21 00:00:00,MIA,Miami International Airport,TAM airlines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,0.0,Deny,,,2.0,
2010062172853,2010-06-14 00:00:00,2010-05-30 00:00:00,ORF,Norfolk International,Southwest Airlines  ,Property Damage,Checked Baggage,,0.0,Deny,,,15.0,
2004122270558,2004-12-07 00:00:00,2004-11-14 00:00:00,SWF,Stewart  Field,,Property Damage,Checked Baggage,Luggage (all types including footlockers),76.44,Settled,50.0,Settle,23.0,26.439999999999998
2004122169847,2004-11-04 00:00:00,2004-10-22 00:00:00,LAS,McCarran International,,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,250.0,Approved,250.0,Approve in Full,13.0,0.0
2005010472433,2004-12-14 00:00:00,2004-11-21 00:00:00,BGM,Greater Binghamton Airport,USAir,Passenger Property Loss,Checked Baggage,Other,284.09,Denied,0.0,Deny,23.0,284.09
2007072729235,2007-07-02 00:00:00,2007-07-25 00:00:00,PHL,Philadelphia International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,500.0,Denied,0.0,Deny,-23.0,500.0
2005111896272,2005-11-09 00:00:00,2005-09-29 00:00:00,LBB,Lubbock International,,Passenger Property Loss,Checked Baggage,Other,35.0,Denied,0.0,Deny,41.0,35.0
2011121489624,2011-11-28 00:00:00,2011-10-21 00:00:00,F,Foreign airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny,,,38.0,
2007112735544,2007-11-26 00:00:00,2007-11-23 00:00:00,MOB,Mobile Regional,Northwest Airlines,Passenger Property Loss,Checked Baggage,DVD/CD Players; Other,93.54,Settled,46.77,Settle,3.0,46.77
